uid	Status	Filename	Sequence	Page	NameString	NameStringSic	Genus	GenusSic	Subgenus	OrigAuthor	CombAuthor	Citation	Cit1Author	Cit1NameString	Cit1Title	Cit1Volume	Cit1Number	Cit1Date	Cit1Pages	Cit1Status	Cit1Other	Cit2	Cit3	Cit4	varr	publication	leftovers	AfterDash	bid	extra_lines_flag	Iteration	Unicode	AdditionCorrection	TaxonRankID	IsHomonym	RLPComments	Flag
383785	1	SIL34_02_26_0162	14	6518	tigrina	0	Columba	0			C. J. Temminck in Knip	Les Pigeons, II (—) 1811, 94	Knip		Les Pigeons, II	(—)		1811	94							Les Pigeons				0	1	tigrina Columba, C. J. Temminck in Knip, Les Pigeons, II (—) 1811, 94.	0	70	0		0
383831	1	SIL34_02_26_0163	8	6519	tigrina	0	Muraena	0			E. Rueppell in Atlas zu Rueppell	Reise (Senckenb. Nat. Ges.) Fische (—) 1830 <em>vel</em> 1831, 118	Atlas zu Rueppell		Reise (Senckenb. Nat. Ges.) Fische	(—)		1830 <em>vel</em> 1831	118							Reise				1	1	tigrina Muraena, E. Rueppell in Atlas zu Rueppell, Reise (Senckenb. Nat. Ges.) Fische (—) 1830 <em>vel</em> 1831, 118.	0	70	0		0
384066	1	SIL34_02_26_0167	30	6523	timon	0	Clostera	0			J. A. Boisduval	Ic. hist. lépidopt. Europe, II (—) 1837, 191			Ic. hist. lépidopt. Europe, II	(—)		1837	191							Ic hist lépidopt Europe		Pygaera.		0	1	timon Clostera, J. A. Boisduval, Ic. hist. lépidopt. Europe, II (—) 1837, 191.—Pygaera.	0	70	0		0
384151	1	SIL34_02_26_0169	11	6525	tinctoria	0	Doris	0			E. Rueppell & Leuckart	Atlas zu Rueppell, Reise (Senckenb. Nat. Ges.) Wirbellose Thiere (—) 1830 <em>vel</em> 1831, 32			Atlas zu Rueppell, Reise (Senckenb. Nat. Ges.) Wirbellose Thiere	(—)		1830 <em>vel</em> 1831	32							Atlas zu Rueppell				1	1	tinctoria Doris, E. Rueppell & Leuckart, Atlas zu Rueppell, Reise (Senckenb. Nat. Ges.) Wirbellose Thiere (—) 1830 <em>vel</em> 1831, 32.	0	70	0		0
384385	1	SIL34_02_26_0173	46	6529	Titaea	0		0			J. Huebner	Exot. Schmett. II. Tab. [176]			Exot. Schmett. II. Tab. [176]			[<em>die indet.</em>].								Exot Schmett II Tab		Lep.		0	1	Titaea J. Huebner, Exot. Schmett. II. Tab. [176].—Lep. [<em>die indet.</em>].	0	60	0		0
384486	1	SIL34_02_26_0175	50	6531	tityus	0	Scarabaeus	0			Palisot de B.	Ins. Afr. Amér. (—) 1813, 138			Ins. Afr. Amér.	(—)		1813	138							Ins Afr Amér				0	1	tityus Scarabaeus, Palisot de B., Ins. Afr. Amér. (—) 1813, 138.	0	70	0		0
384646	1	SIL34_02_26_0178	52	6534	tomentosum	0	Alcyonium (L.)	0			G. D. Westendorp	Ann. Soc., m&#x000E9;d. Chir. Bruges, IV. 1843 [43].&#x2014;Spongia, Gm. 1790.			Ann. Soc., méd. Chir. Bruges, IV.			1843	[43]							Ann Soc		Spongia, Gm. 1790.		1	12	tomentosum Alcyonium (L.), G. D. Westendorp. Ann. Soc., méd. Chir. Bruges, IV. 1843 [43].—Spongia, Gm. 1790.	0	70	0		0
384793	1	SIL34_02_26_0181	42	6537	tondi	0	Amphitrite	0			S. d. Chiaje	Mem. An. s. vert. Napoli, III (—) 1828, 180			Mem. An. s. vert. Napoli, III	(—)		1828	180							Mem An s vert Napoli				0	1	tondi Amphitrite, S. d. Chiaje, Mem. An. s. vert. Napoli, III (—) 1828, 180.	0	70	0		0
385079	1	SIL34_02_26_0189	31	6545	torrida	0	Pentatoma	0			Palisot de B.	Ins. Afr. Amér. (—) 1813, 129			Ins. Afr. Amér.	(—)		1813	129							Ins Afr Amér				0	1	torrida Pentatoma, Palisot de B., Ins. Afr. Amér. (—) 1813, 129.	0	70	0		0
385213	1	SIL34_02_26_0192	12	6548	torulosa	0	Serpula	0			S. d. Chiaje	Mem. An. s. vert. Napoli, III (—) 1828, 226			Mem. An. s. vert. Napoli, III	(—)		1828	226							Mem An s vert Napoli				0	1	torulosa Serpula, S. d. Chiaje, Mem. An. s. vert. Napoli, III (—) 1828, 226.	0	70	0		0
386121	1	SIL34_02_26_0212	8	6568	Tremapterus	0		0			M. Spinola	Tav. sin. Hem. 1850,—<em>ex</em> Mém. Soc. Ital. Sci. XXV (1) 1852, [96			Tav. sin. Hem.			1850								Tav sin Hem	<em>ex</em> Mém. Soc. Ital. Sci. XXV (1) 1852, [96	Hem.		1	1	Tremapterus M. Spinola, Tav. sin. Hem. 1850,—<em>ex</em> Mém. Soc. Ital. Sci. XXV (1) 1852, [96.—Hem.	0	60	0		0
386426	1	SIL34_02_26_0218	7	6574	triangularis	0	Spongia	0			S. d. Chiaje	Mem. An. s. vert. Napoli, III (—) 1828, 114			Mem. An. s. vert. Napoli, III	(—)		1828	114							Mem An s vert Napoli				0	1	triangularis Spongia, S. d. Chiaje, Mem. An. s. vert. Napoli, III (—) 1828, 114.	0	70	0		0
387033	1	SIL34_02_27_0005	40	6585	Tricocephalus	0		0			S. d. Chiaje	Mem. An. s. vert. Napoli, II (—) 1827, 225			Mem. An. s. vert. Napoli, II	(—)		1827	225							Mem An s vert Napoli	[= Trichoc?]			0	11	Tricocephalus S. d. Chiaje, Mem. An. s. vert. Napoli, II (—) 1827, 225 [= Trichoc?].	0	60	1		0
387043	1	SIL34_02_27_0005	50	6585	tricolor	0	Aeshna	0			Palisot de B.	Ins. Afr. Amér. (—) 1807, 67			Ins. Afr. Amér.	(—)		1807	67							Ins Afr Amér				0	1	tricolor Aeshna, Palisot de B., Ins. Afr. Amér. (—) 1807, 67.	0	70	0		0
387110	1	SIL34_02_27_0007	12	6587	tricolor	0	Copris	0			Palisot de B.	Ins. Afr. Amér. (—) 1813-20, 197			Ins. Afr. Amér.	(—)		1813-20	197							Ins Afr Amér				0	1	tricolor Copris, Palisot de B., Ins. Afr. Amér. (—) 1813-20, 197.	0	70	0		0
387612	1	SIL34_02_27_0016	38	6596	tridentatus	0	Monochamus	0			A. Chevrolat	Revue Entom. I (—) 1833, Descr. d'esp. nouv., [no. 9			Revue Entom. I	(—)		1833								Revue Entom	Descr. d'esp. nouv., [no. 9			1	1	tridentatus Monochamus, A. Chevrolat, Revue Entom. I (—) 1833, Descr. d'esp. nouv., [no. 9.	0	70	0		0
387674	1	SIL34_02_27_0017	46	6597	trifascialis	0	Murex	0			J. P. S. de Grateloup	Atlas to Conch. foss. tert. Adour, 1840-46 [<em>vero propius</em> 1847], Ranelles, pl. ii			Atlas to Conch. foss. tert. Adour			1840-46 [<em>vero propius</em> 1847]	Ranelles, pl. ii							Atlas to Conch foss tert Adour				1	1	trifascialis Murex, J. P. S. de Grateloup, Atlas to Conch. foss. tert. Adour, 1840-46 [<em>vero propius</em> 1847], Ranelles, pl. ii.	0	70	0		0
